Country,GDP ($ per capita),total_vaccinations,,GDP ($ per capita),daily_vaccinations,Pop. Density (per sq. mi.),Net migration,people_vaccinated_per_hundred,daily_vaccinations_per_million
Afghanistan,700,600152,,700,4746,48,23.06,1.23,2548
Albania,4500,776461,,4500,7332,124.6,-4.93,16.89,85
Algeria,6000,75000,,6000,3748,13.8,-0.39,,1268
Andorra,19000,32317,,19000,98,152.1,6.6,35.74,392
Angola,1900,909215,,1900,12888,9.7,0,2.07,7332
Anguilla,8600,14443,,8600,110,132.1,10.76,60.02,11968
Antigua and Barbuda,11000,48347,,11000,1172,156,-6.15,33.92,3502
Argentina,11200,12257297,,11200,158261,14.4,0.61,20.97,353
Armenia,3500,26562,,3500,1045,99.9,-6.47,0.9,5882
Aruba,28000,114154,,28000,628,372.5,0,59.11,3532
Australia,29000,4243600,,29000,90078,2.6,3.98,14.68,7769
Austria,30000,5132295,,30000,69967,97.7,2,40.32,3750
Azerbaijan,3400,2253216,,3400,38019,91.9,-4.9,13.34,1523
Bahamas,16700,55037,,16700,599,21.8,-2.2,11.79,11002
Bahrain,16900,1732728,,16900,18721,1050.5,1.05,55.34,131
Bangladesh,1900,9979415,,1900,21492,1023.4,-0.71,3.54,3713
Barbados,15700,138798,,15700,1067,649.5,-0.31,27.23,1726
Belarus,6100,710922,,6100,16308,49.6,2.54,4.64,7706
Belgium,29100,6732836,,29100,89312,340,1.23,40.27,1688
Belize,4900,75243,,4900,671,12.5,0,16.11,21
Benin,1100,12934,,1100,250,69.8,0,0.1,5187
Bermuda,36000,68822,,36000,323,1241,2.49,57.96,75
Bhutan,1300,482716,,1300,58,48.5,0,62.56,3259
Bolivia,2400,1681883,,2400,38038,8.2,-1.32,11.41,
Bosnia and Herzegovina,6100,232706,,6100,13677,88,0.31,5.76,1385
Botswana,9000,142864,,9000,3258,2.7,0,,3561
Brazil,7600,67482730,,7600,756893,22.1,-0.03,21.35,6019
British Virgin Islands,16000,16302,,16000,182,151,10.01,38.21,4665
Brunei,18600,56296,,18600,2041,65.8,3.59,10.47,2057
Bulgaria,7600,1365923,,7600,14295,66.6,-4.58,11.59,5859
Cambodia,1900,4613562,,1900,97956,76.7,0,15.7,98
Cameroon,1800,75215,,1800,2601,36.5,0,0.24,9390
Canada,29800,23862352,,29800,354401,3.3,5.96,57.72,347
Cape Verde,1400,24382,,1400,193,104.4,-12.07,3.9,8095
Cayman Islands,35000,80120,,35000,532,173.4,18.75,65.79,193
Central African Republic,1100,18408,,1100,934,6.9,0,0.37,8576
Chile,9900,18474449,,9900,163938,21.3,0,55.06,13321
China,5000,661468000,,5000,19173571,136.9,-0.4,,4272
Colombia,6300,9825772,,6300,217358,38.3,-0.31,12.88,5021
Comoros,700,80023,,700,4366,318.4,0,4.96,25
Congo,700,38268,,700,138,10.8,-0.17,0.41,
Cook Islands,5000,4363,,5000,,89.1,,24.84,5774
Costa Rica,9100,1457802,,9100,29415,79.8,0.51,17.03,478
Cote d'Ivoire,1400,535748,,1400,12614,54.8,-0.07,2.03,5855
Croatia,10600,1751087,,10600,24038,79.5,1.58,31,855
Cuba,2900,813867,,2900,9680,102.7,-1.58,7.19,8013
Cyprus,19200,595906,,19200,10537,84.8,0.43,44.15,7552
Czech Republic,15700,5314572,,15700,80873,129.8,0.97,36.1,8
Democratic Republic of Congo,700,23197,,700,713,26.7,0,0.03,8107
Denmark,31100,3382754,,31100,46958,126.5,2.48,36.78,74
Djibouti,1300,14943,,1300,73,21.2,0,1.27,3875
Dominica,5400,36449,,5400,279,91.4,-13.87,27.27,6257
Dominican Republic,6000,4214163,,6000,67879,188.5,-3.22,29.23,2256
Ecuador,3300,2225005,,3300,39808,47.8,-8.58,8.86,989
Egypt,4000,2586274,,4000,101183,78.8,-0.22,2.2,5123
El Salvador,4800,1925770,,4800,33227,324.3,-3.74,17.59,8638
Equatorial Guinea,2700,219677,,2700,4430,19.3,0,10.55,6511
Estonia,12300,706677,,12300,8637,29.3,-3.16,35.66,16
Ethiopia,700,1813739,,700,18470,66.3,0,1.58,11542
Fiji,5800,93000,,5800,1762,49.6,-3.14,10.37,5942
Finland,27400,2942586,,27400,32921,15.5,0.95,44.33,7092
France,27600,36218537,,27600,479192,111.3,0.66,37.65,4987
French Polynesia,17500,95556,,17500,1401,65.9,2.94,19.8,197
Gabon,5500,22524,,5500,438,5.3,0,0.64,625
Gambia,1700,38490,,1700,1511,145.3,1.57,1.4,1270
Georgia,2500,165015,,2500,5066,66.9,-4.7,3.48,7915
Germany,27600,49940729,,27600,663173,230.9,2.18,43.19,1749
Ghana,2200,1228216,,2200,54335,93.6,-0.64,2.74,5639
Gibraltar,17500,77519,,17500,190,3989.7,0,116,8017
Greece,20000,5597624,,20000,83565,81,2.35,35,5936
Greenland,20000,22376,,20000,337,0,-8.37,24.72,3582
Grenada,5000,23553,,5000,403,260.8,-13.92,14.52,1078
Guatemala,4100,488129,,4100,19313,112.9,-1.67,2.34,10753
Guernsey,20000,63791,,20000,721,838.6,3.84,,936
Guinea,2100,339177,,2100,12288,39.4,-3.06,1.92,
Guinea-Bissau,800,5889,,800,,39.9,-1.57,0.3,6164
Guyana,4000,245614,,4000,4848,3.6,-2.07,23.8,1298
Honduras,2600,253832,,2600,12853,65.4,-1.99,2.12,4294
Hong Kong,28800,2400405,,28800,32194,6355.7,5.24,18.4,10837
Hungary,13900,8832277,,13900,104687,107.3,0.86,53.59,7824
Iceland,30900,249800,,30900,2670,2.9,2.38,50.22,1686
India,2900,210449895,,2900,2326312,333.2,-0.07,12.12,1159
Indonesia,3200,27045507,,3200,317041,127.9,0,6,1381
Iran,7000,3141577,,7000,116028,41.7,-0.84,3.26,220
Iraq,1500,582537,,1500,8864,61.3,0,,7194
Ireland,29600,2349207,,29600,35524,57.8,4.99,35.12,11019
Isle of Man,21000,89719,,21000,937,131.9,5.36,72.11,342
Israel,19800,10583468,,19800,2962,305.8,0.68,62.98,8260
Italy,26700,34951354,,26700,499424,193,2.07,38.88,636
Jamaica,3900,177883,,3900,1883,250.9,-4.92,5.26,4229
Japan,28200,13210567,,28200,534806,337.4,0,7.73,8024
Jersey,24800,103044,,24800,811,785.2,2.76,58.76,5048
Jordan,4300,1904235,,4300,51502,64,6.59,13.84,1943
Kazakhstan,6300,3170032,,6300,36483,5.6,-3.35,11.26,40
Kenya,1000,969692,,1000,2168,59.6,-0.1,1.8,971
Kuwait,19000,1820000,,19000,38000,135.7,14.18,,240
Kyrgyzstan,1600,54101,,1600,1568,26.3,-2.45,,2542
Laos,1700,865694,,1700,18498,26.9,0,8.77,8011
Latvia,10200,742687,,10200,15111,35.2,-2.23,26.27,2015
Lebanon,4800,774435,,4800,13751,372.5,0,7.64,186
Lesotho,3000,36759,,3000,398,66.6,-0.74,1.71,71
Liberia,1000,56144,,1000,360,27.3,0,1.11,669
Libya,6400,106559,,6400,4600,3.4,0,1.55,8260
Liechtenstein,25000,20184,,25000,315,212.4,4.85,32.11,7614
Lithuania,11400,1620588,,11400,20727,55,-0.71,37.34,5414
Luxembourg,55100,345574,,55100,3389,183.5,8.97,36.43,4843
Macau,19400,173404,,19400,3145,16183,4.86,16.78,100
Madagascar,800,36640,,800,2769,31.7,0,0.13,78
Malawi,600,355093,,600,1492,109.8,0,1.86,2321
Malaysia,9000,3156872,,9000,75127,74,0,6.21,3119
Maldives,3900,476305,,3900,1686,1196.7,0,57.32,166
Mali,900,110140,,900,3363,9.5,-0.33,0.41,13326
Malta,17700,515662,,17700,5884,1266.5,2.07,71.74,271
Mauritania,1800,37331,,1800,1260,3.1,0,0.66,7456
Mauritius,11400,400801,,11400,9482,608.3,-0.9,18.3,3904
Mexico,9000,30477703,,9000,503416,54.5,-4.87,16.91,3903
Moldova,1800,416814,,1800,15743,132,-0.26,8.43,3873
Monaco,27000,30029,,27000,152,16271.5,7.75,42.05,21832
Mongolia,1800,3165008,,1800,71571,1.8,0,56.69,12085
Montserrat,3400,2522,,3400,13,92.5,0,27.17,5556
Morocco,4000,14143401,,4000,205064,74.4,-0.98,23.5,3
Mozambique,1200,394312,,1200,93,24.6,0,1.02,921
Myanmar,1800,2994900,,1800,50126,69.8,-1.8,3.26,501
Namibia,7200,76578,,7200,1274,2.5,0,2.66,22060
Nauru,5000,7392,,5000,239,632.7,0,68.23,666
Nepal,1400,2802596,,1400,19418,192.2,0,7.25,3118
Netherlands,28600,8840874,,28600,53434,397.1,2.91,36.9,2956
New Caledonia,15000,86639,,15000,844,11.5,0,16.29,2561
New Zealand,21600,562149,,21600,12350,15.2,4.05,7.69,12
Nicaragua,2300,167500,,2300,82,43,-1.22,2.53,196
Niger,800,159525,,800,4737,9.9,-0.67,0.63,66
Nigeria,900,2030063,,900,13654,142.7,0.26,0.95,3854
North Macedonia,6700,315781,,6700,8029,80.9,-1.45,11.26,1504
Norway,37800,2644186,,37800,35588,14.2,1.74,30.21,392
Oman,13100,296894,,13100,2003,14.6,0.28,4.24,895
Pakistan,2100,6130509,,2100,197639,206.2,-2.77,2.12,1562
Panama,6300,1071998,,6300,16927,40.8,-0.91,16.09,136
Papua New Guinea,2200,11537,,2200,1220,12.3,0,0.13,1189
Paraguay,4700,378022,,4700,8483,16,-0.08,4.28,2418
Peru,5100,3845395,,5100,79738,22,-1.05,8.14,1277
Philippines,4600,5180721,,4600,139889,298.2,-1.5,3.63,1000000
Poland,11100,20084619,,11100,285544,123.3,-0.49,36.22,7433
Portugal,18000,5711763,,18000,75789,114.8,3.57,37.78,10703
Qatar,21500,2545193,,21500,30836,77.4,16.29,50.74,3571
Romania,7000,7809390,,7000,68691,93.9,-0.13,22.35,1663
Russia,8900,28501637,,8900,242759,8.4,1.02,11.36,552
Rwanda,1300,400096,,1300,7156,328.4,0,2.71,15978
Saint Helena,2500,7091,,2500,97,18.2,0,58.69,14156
Saint Lucia,5400,46771,,5400,202,273.5,-2.67,15.31,1343
Saint Vincent and the Grenadines,2900,19463,,2900,149,303,-7.64,,5680
Samoa,5600,28443,,5600,1127,60.1,-11.7,14.34,1945
San Marino,34600,42529,,34600,66,479.5,10.98,63.56,3203
Saudi Arabia,11800,14208292,,11800,170690,13.8,-2.71,,8401
Senegal,1600,522575,,1600,1613,61.1,0.2,2.7,5938
Serbia,2200,4552842,,2200,40404,106.3,-1.33,36.99,3366
Seychelles,7800,134475,,7800,331,179.2,-5.69,71.64,81
Sierra Leone,500,79762,,500,643,83.7,0,0.86,7743
Singapore,23700,4000000,,23700,45300,6482.2,11.53,39.31,5900
Slovakia,13300,2580610,,13300,28751,111.4,0.3,31.77,6909
Slovenia,19000,1071492,,19000,14363,99.2,1.12,31.95,479
Solomon Islands,1700,16581,,1700,329,19.4,0,1.91,80
Somalia,500,134133,,500,1275,13.9,5.37,0.81,768
South Africa,10700,970488,,10700,45551,36.2,-0.29,,6262
South Korea,17800,7962839,,17800,321055,496,0,11.3,23
Spain,22000,26827637,,22000,327654,80,0.99,38.57,1226
Sri Lanka,3700,1956742,,3700,26260,308.2,-1.31,7.51,134
Sudan,1900,358236,,1900,5892,16.5,-0.02,0.73,2857
Suriname,4000,82943,,4000,1676,2.7,-8.81,11.67,6413
Sweden,26800,4996809,,26800,64763,20,1.67,36.05,8543
Switzerland,32700,4521540,,32700,73937,182.2,4.05,33.59,26
Syria,3300,24781,,3300,455,102,0,0.14,900
Taiwan,23400,461647,,23400,21424,640.3,0,,31
Tajikistan,1000,74403,,1000,294,51.2,-2.86,0.78,1431
Thailand,7400,3609882,,7400,99888,125.7,0,3.58,1503
Togo,1500,311938,,1500,3453,97.7,0,3.27,3056
Tonga,2200,25970,,2200,323,153.3,0,24.57,2792
Trinidad and Tobago,9500,95850,,9500,3907,207.9,-10.83,6.76,1861
Tunisia,6900,942532,,6900,21993,62.2,-0.57,5.45,1711
Turkey,6700,29171543,,6700,144330,90.2,0,19.72,
Turkmenistan,5800,41993,,5800,,10.3,-0.86,0.53,11648
Turks and Caicos Islands,9600,36170,,9600,451,49.2,11.68,53.62,
Tuvalu,1100,2400,,1100,,454.2,0,20.35,258
Uganda,1400,595924,,1400,11798,119.5,0,1.3,305
Ukraine,5400,1161518,,5400,13332,77.4,-0.39,2.36,8375
United Arab Emirates,23200,12870553,,23200,82836,31.4,1.03,,8314
United Kingdom,27700,64916544,,27700,564421,247.6,2.19,58.01,3933
United States,37800,294928850,,37800,1315466,31,3.41,50.15,9386
Uruguay,12800,2818367,,12800,32606,19.5,-0.32,51.67,984
Uzbekistan,1700,1642744,,1700,32919,61,-1.72,3.58,63
Venezuela,4800,316000,,4800,1784,28.2,-0.04,1.11,28
Vietnam,2500,1034867,,2500,2772,256.1,-0.45,1.03,7287
Wallis and Futuna,3700,8283,,3700,15,58.5,,38.7,143
Yemen,800,104070,,800,4276,40.6,0,0.35,69
Zambia,800,147033,,800,1262,15.3,0,0.77,1011
Zimbabwe,1900,1020078,,1900,15022,31.3,0,4.55,
